sulfurID,S_conc_uM,incubationID,sampleID,tripID,depth,startDate,dateCollected,filtered,amendment,incubationTimePoint,treatment,durationInDays
BLI20_TS_071,24.8,BLI20_MA_009,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,yes,unamended,t2,filtered-unamended,3.490278
BLI20_TS_071,24.8,BLI20_MA_009,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,yes,unamended,t2,filtered-unamended,3.490278
BLI20_TS_071,26.9,BLI20_MA_009,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,yes,unamended,t2,filtered-unamended,3.490278
BLI20_TS_071,26.9,BLI20_MA_009,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,yes,unamended,t2,filtered-unamended,3.490278
BLI20_TS_072,19.2,BLI20_MA_010,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,yes,unamended,t2,filtered-unamended,3.495139
BLI20_TS_072,19.2,BLI20_MA_010,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,yes,unamended,t2,filtered-unamended,3.495139
BLI20_TS_073,49.5,BLI20_MA_008,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,molybdate,t2,unfiltered-molybdate,3.502778
BLI20_TS_073,49.5,BLI20_MA_008,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,molybdate,t2,unfiltered-molybdate,3.502778
BLI20_TS_074,61.7,BLI20_MA_005,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,unamended,t3,unfiltered-unamended,NA
BLI20_TS_075,22.1,BLI20_MA_016,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,no,molybdate,t3,unfiltered-molybdate,NA
BLI20_TS_076,53.2,BLI20_MA_002,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,molybdate,t3,unfiltered-molybdate,NA
BLI20_TS_077,16,BLI20_MA_011,BLiMMP_sample_0048,BLiMMP_trip_010,15.5,2020-09-02,2020-09-03,no,unamended,t3,unfiltered-unamended,NA
BLI20_TS_078,41.5,BLI20_MA_008,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,molybdate,t3,unfiltered-molybdate,NA
BLI20_TS_095,0,BLI20_MA_062,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,yes,unamended,t0,filtered-unamended,0
BLI20_TS_095,0,BLI20_MA_062,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,yes,unamended,t0,filtered-unamended,0
BLI20_TS_096,0,BLI20_MA_061,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,yes,unamended,t0,filtered-unamended,0
BLI20_TS_096,0,BLI20_MA_061,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,yes,unamended,t0,filtered-unamended,0
BLI20_TS_097,5.74,BLI20_MA_060,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,no,glucose,t0,unfiltered-glucose,0
BLI20_TS_097,5.74,BLI20_MA_060,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,no,glucose,t0,unfiltered-glucose,0
BLI20_TS_098,4.13,BLI20_MA_053,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,no,molybdate,t0,unfiltered-molybdate,0
BLI20_TS_098,4.13,BLI20_MA_053,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,no,molybdate,t0,unfiltered-molybdate,0
BLI20_TS_099,5.06,BLI20_MA_052,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,no,glucose+molybdate,t0,unfiltered-glucose+molybdate,0
BLI20_TS_099,5.06,BLI20_MA_052,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,no,glucose+molybdate,t0,unfiltered-glucose+molybdate,0
BLI20_TS_100,14.3,BLI20_MA_051,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,no,molybdate,t0,unfiltered-molybdate,0
BLI20_TS_100,14.3,BLI20_MA_051,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,no,molybdate,t0,unfiltered-molybdate,0
BLI20_TS_101,15.7,BLI20_MA_050,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,no,unamended,t0,unfiltered-unamended,0
BLI20_TS_101,15.7,BLI20_MA_050,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,no,unamended,t0,unfiltered-unamended,0
BLI20_TS_102,7.59,BLI20_MA_048,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,no,glucose+molybdate,t0,unfiltered-glucose+molybdate,0
BLI20_TS_102,7.59,BLI20_MA_048,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,no,glucose+molybdate,t0,unfiltered-glucose+molybdate,0
BLI20_TS_103,17.5,BLI20_MA_049,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,no,glucose,t0,unfiltered-glucose,0
BLI20_TS_103,17.5,BLI20_MA_049,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,no,glucose,t0,unfiltered-glucose,0
BLI20_TS_104,2.37,BLI20_MA_047,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,no,molybdate,t0,unfiltered-molybdate,0
BLI20_TS_104,2.37,BLI20_MA_047,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,no,molybdate,t0,unfiltered-molybdate,0
BLI20_TS_105,4.1,BLI20_MA_058,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,no,glucose+molybdate,t0,unfiltered-glucose+molybdate,0
BLI20_TS_105,4.1,BLI20_MA_058,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,no,glucose+molybdate,t0,unfiltered-glucose+molybdate,0
BLI20_TS_106,5.27,BLI20_MA_059,BLiMMP_sample_0064,BLiMMP_trip_013,15.7,2020-10-10,2020-10-10,no,unamended,t0,unfiltered-unamended,0
